OpModeID,pollutantID,sourceTypeID,fuelTypeID,modelYearID,emissionQuant
0,90,42,2,2017,18192.5
1,90,42,2,2017,9065.73
11,90,42,2,2017,11845.5
12,90,42,2,2017,33361
13,90,42,2,2017,58868.6
14,90,42,2,2017,84858.5
15,90,42,2,2017,106570
16,90,42,2,2017,144355
21,90,42,2,2017,9452.28
22,90,42,2,2017,42155.6
23,90,42,2,2017,68486.9
24,90,42,2,2017,97998.9
25,90,42,2,2017,125315
27,90,42,2,2017,169997
28,90,42,2,2017,237997
29,90,42,2,2017,305995
30,90,42,2,2017,373994
33,90,42,2,2017,37111.4
35,90,42,2,2017,110333
37,90,42,2,2017,170835
38,90,42,2,2017,239169
39,90,42,2,2017,307502
40,90,42,2,2017,375836
300,90,42,2,2017,21300.2
0,90,42,3,2017,9542.36
1,90,42,3,2017,7636.18
11,90,42,3,2017,9998.75
12,90,42,3,2017,22977.6
13,90,42,3,2017,64232.5
14,90,42,3,2017,105750
15,90,42,3,2017,147023
16,90,42,3,2017,206835
21,90,42,3,2017,13149.3
22,90,42,3,2017,26693.7
23,90,42,3,2017,68712.9
24,90,42,3,2017,80494.7
25,90,42,3,2017,112071
27,90,42,3,2017,157229
28,90,42,3,2017,220120
29,90,42,3,2017,283012
30,90,42,3,2017,345903
33,90,42,3,2017,42663.4
35,90,42,3,2017,85325.1
37,90,42,3,2017,140681
38,90,42,3,2017,196952
39,90,42,3,2017,253224
40,90,42,3,2017,309497
300,90,42,3,2017,15464.1
